Date,Time,Session,Perfect Lap,Track Evolution,Weather
10/30/22,8:53,Qual A,39.69,X,55.8
10/30/22,9:23,Qual B,39.563,,55.8
10/30/22,9:56,SWS Race 1,38.837,,63.7
10/30/22,10:36,SWS Race 2,38.988,,67.3
11/27/22,8:52,Qual A,39.348,X,38.9
11/27/22,9:23,Qual B,38.613,,38.9
11/27/22,9:48,SWS Race 1,38.691,,46.4
11/27/22,10:27,SWS Race 2,38.598,,46.4
12/26/22,8:53,Qual A,39.596,X,48.5
12/26/22,9:23,Qual B,39.203,,48.5
12/26/22,9:56,SWS Race 1,38.902,,52.4
12/26/22,10:36,SWS Race 2,38.695,,56.3
1/30/23,8:53,Qual A,38.788,,37.7
1/30/23,9:23,Qual B,39.061,,37.7
1/30/23,9:56,SWS Race 1,39.155,,38.2
1/30/23,10:36,SWS Race 2,39.009,,38.2
2/27/23,8:53,Qual A,40.903,X,38.6
2/27/23,9:23,Qual B,40.235,,38.6
2/27/23,9:56,SWS Race 1,39.869,,42.5
2/27/23,10:36,SWS Race 2,39.575,,45.8
3/27/23,8:53,Qual A,39.193,,39.5
3/27/23,9:23,Qual B,39.178,,39.5
3/27/23,9:56,Qual C,39.618,,42.2
3/27/23,10:36,SWS Race 1,39.313,,44.6
3/27/23,11:06,SWS Race 2,38.948,,44.6
4/16/23,8:45,Qual E,39.795,X,65.7
4/16/23,10:00,SWS Race E,39.112,,69.3
4/30/23,8:53,Qual A,40.121,X,78.2
4/30/23,9:23,Qual B,39.956,,78.2
4/30/23,9:56,Qual C,39.623,,82.6
4/30/23,10:36,SWS Race 1,38.821,,86.3
4/30/23,11:06,SWS Race 2,39.271,,86.3
5/28/23,8:53,Qual A,40.477,X,78.1
5/28/23,9:23,Qual B,40.061,,78.1
5/28/23,9:56,SWS Race 1,39.988,,81.5
5/28/23,10:36,SWS Race 2,39.9,,84.1
6/25/23,8:53,Qual A,40.322,,79.4
6/25/23,9:23,Qual B,40.387,,79.4
6/25/23,9:56,SWS Race 1,40.054,,82.6
6/25/23,10:36,SWS Race 2,40.143,,85.4
7/30/23,8:53,Qual A,39.885,,94.3
7/30/23,9:23,Qual B,40.046,,94.3
7/30/23,9:56,SWS Race 1,39.738,,97.9
7/30/23,10:36,SWS Race 2,39.593,,100.7
8/27/23,8:56,Qual A,40.64,X,85.0
8/27/23,9:23,Qual B,40.232,,85.0
8/27/23,9:56,SWS Race 1,39.757,,89.5
8/27/23,10:45,SWS Race 2,39.607,,92.5
9/09/23,18:45,Qual E,40.634,X,92.6
9/09/23,22:00,SWS Race E,40.047,,83.1
9/24/23,8:53,Qual A,40.049,,68.7
9/24/23,9:23,Qual B,40.234,,68.7
9/24/23,9:56,SWS Race 1,39.74,,72.2
9/24/23,10:36,SWS Race 2,39.604,,75.5